property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,signature global city 81,sector 81,0.89,8279.0,2,2,2,3.0,Under Construction,1340.21,1194.0,1074.99,0,0,0,0,1,0,20,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,imperia the esfera,sector 37c,0.7,4879.0,2,3,3+,12.0,Under Construction,1435.04,1299.0,1169.0,1,0,0,0,1,0,58,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,tulip violet,sector 69,1.55,9822.0,3,3,2,5.0,Relatively New,1577.99,1428.0,1285.0,0,0,0,1,0,0,99,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,shree vardhman victoria,sector 70,1.64,8410.0,3,5,3,8.0,Relatively New,1949.99,1527.0,1160.99,0,1,0,0,0,0,126,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,experion the heartsong,sector 108,2.29,8240.0,4,5,3+,8.0,Relatively New,3071.0,2779.02,2501.0,0,1,0,0,0,0,95,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sare crescent parc,sector 92,0.9,4278.0,4,5,3+,14.0,Relatively New,1870.01,1692.0,1523.0,0,1,0,0,1,0,62,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,smriti apartment,sector 56,0.6,10000.0,1,1,1,2.0,Moderately Old,599.98,543.0,489.0,0,0,0,0,0,0,49,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sare crescent parc,sector 92,0.65,4596.0,3,3,3,3.0,Moderately Old,1763.08,1571.0,1413.95,0,0,0,0,0,0,44,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,smart world gems,sector 89,0.9,8145.0,2,2,2,1.0,New Property,1221.0,1105.02,995.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,signature the roselia,sector 95,0.48,7164.0,2,2,2,6.0,Relatively New,835.24,744.0,670.05,0,0,0,0,0,0,16,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,conscient elevate,sector 59,3.9,16993.0,3,1,0,0.0,Under Construction,2536.0,2294.97,2065.0,0,0,0,0,0,0,0,"28.4051° N, 77.1097° E",28.4051,77.1097
flat,puri emerald bay,sector 104,2.65,15007.0,3,4,3,15.0,Relatively New,2449.97,2090.0,1765.71,0,1,0,0,0,1,174,"28.4788° N, 76.9960° E",28.4788,76.996
house,sushant lok 1 builder floors,sector 43,13.0,48148.0,3,3,3+,4.0,New Property,2984.0,2700.02,2430.0,0,0,0,1,0,1,7,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,paras dews,sector 106,0.88,6353.0,2,2,3+,3.0,Relatively New,1384.99,1119.98,1040.01,0,0,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
